Chapter,Section,Page
18.2,"Occurrence and Preparation of the Representative Metals",867
18.3,"Structure and General Properties of the Metalloids",870
18.4,"Structure and General Properties of the Nonmetals",877
18.5,"Occurrence, Preparation, and Compounds of Hydrogen",885
18.6,"Occurrence, Preparation, and Properties of Carbonates",891
18.7,"Occurrence, Preparation, and Properties of Nitrogen",893
18.8,"Occurrence, Preparation, and Properties of Phosphorus",897
18.9,"Occurrence, Preparation, and Compounds of Oxygen",899
18.10,"Occurrence, Preparation, and Properties of Sulfur",913
18.11,"Occurrence, Preparation, and Properties of Halogens",915
18.12,"Occurrence, Preparation, and Properties of the Noble Gases",920
18.13,"Key Terms",922
18.14,"Summary",923
18.15,"Exercises",924
19,"Transition Metals and Coordination Chemistry",935
19.1,"Occurrence, Preparation, and Properties of Transition Metals and Their Compounds",935
19.2,"Coordination Chemistry of Transition Metals",948
19.3,"Spectroscopic and Magnetic Properties of Coordination Compounds",962
19.4,"Key Terms",971
19.5,"Summary",972
19.6,"Exercises",973
20,"Organic Chemistry",977
20.1,"Hydrocarbons",978
20.2,"Alcohols and Ethers",995
20.3,"Aldehydes, Ketones, Carboxylic Acids, and Esters",999
20.4,"Amines and Amides",1005
20.5,"Key Terms",1014
20.6,"Summary",1014
20.7,"Exercises",1015
21,"Nuclear Chemistry",1021
21.1,"Nuclear Structure and Stability",1022
21.2,"Nuclear Equations",1028
21.3,"Radioactive Decay",1031
21.4,"Transmutation and Nuclear Energy",1042
21.5,"Uses of Radioisotopes",1055
21.6,"Biological Effects of Radiation",1059
21.7,"Key Terms",1067
21.8,"Key Equations",1068
21.9,"Summary",1069
21.10,"Exercises",1070
21.11,"Appendix A The Periodic Table",1077
21.12,"Appendix B Essential Mathematics",1079
21.13,"Appendix C Units and Conversion Factors",1087
21.14,"Appendix D Fundamental Physical Constants",1091
