Chapter,Section,Page
8.6,"Collisions of Point Masses in Two Dimensions",340
8.7,"Introduction to Rocket Propulsion",344
8.8,"Glossary",348
8.9,"Section Summary",348
8.10,"Conceptual Questions",349
8.11,"Problems & Exercises",350
9,"Statics and Torque",357
9.1,"The First Condition for Equilibrium",358
9.2,"The Second Condition for Equilibrium",359
9.3,"Stability",364
9.4,"Applications of Statics, Including Problem-Solving Strategies",368
9.5,"Simple Machines",372
9.6,"Forces and Torques in Muscles and Joints",376
9.7,"Glossary",382
9.8,"Section Summary",382
9.9,"Conceptual Questions",383
9.10,"Problems & Exercises",384
10,"Rotational Motion and Angular Momentum",391
10.1,"Angular Acceleration",392
10.2,"Kinematics of Rotational Motion",397
10.3,"Dynamics of Rotational Motion: Rotational Inertia",402
10.4,"Rotational Kinetic Energy: Work and Energy Revisited",407
10.5,"Angular Momentum and Its Conservation",415
10.6,"Collisions of Extended Bodies in Two Dimensions",421
10.7,"Gyroscopic Effects: Vector Aspects of Angular Momentum",426
10.8,"Glossary",429
10.9,"Section Summary",429
10.10,"Conceptual Questions",430
10.11,"Problems & Exercises",433
11,"Fluid Statics",439
11.1,"What Is a Fluid?",439
11.2,"Density",441
11.3,"Pressure",444
11.4,"Variation of Pressure with Depth in a Fluid",446
11.5,"Pascal’s Principle",450
11.6,"Gauge Pressure, Absolute Pressure, and Pressure Measurement",453
11.7,"Archimedes’ Principle",457
11.8,"Cohesion and Adhesion in Liquids: Surface Tension and Capillary Action",464
11.9,"Pressures in the Body",473
11.10,"Glossary",479
11.11,"Section Summary",479
11.12,"Conceptual Questions",480
11.13,"Problems & Exercises",482
12,"Fluid Dynamics and Its Biological and Medical Applications",489
12.1,"Flow Rate and Its Relation to Velocity",490
12.2,"Bernoulli’s Equation",493
12.3,"The Most General Applications of Bernoulli’s Equation",498
12.4,"Viscosity and Laminar Flow; Poiseuille’s Law",501
12.5,"The Onset of Turbulence",509
12.6,"Motion of an Object in a Viscous Fluid",511
12.7,"Molecular Transport Phenomena: Diffusion, Osmosis, and Related Processes",513
12.8,"Glossary",518
12.9,"Section Summary",518
12.10,"Conceptual Questions",519
12.11,"Problems & Exercises",522
13,"Temperature, Kinetic Theory, and the Gas Laws",529
13.1,"Temperature",530
13.2,"Thermal Expansion of Solids and Liquids",537
13.3,"The Ideal Gas Law",544
13.4,"Kinetic Theory: Atomic and Molecular Explanation of Pressure and Temperature",551
13.5,"Phase Changes",559
13.6,"Humidity, Evaporation, and Boiling",563
13.7,"Glossary",569
13.8,"Section Summary",569
13.9,"Conceptual Questions",571
13.10,"Problems & Exercises",572
14,"Heat and Heat Transfer Methods",577
14.1,"Heat",577
14.2,"Temperature Change and Heat Capacity",579
14.3,"Phase Change and Latent Heat",585
14.4,"Heat Transfer Methods",592
14.5,"Conduction",593
14.6,"Convection",599
14.7,"Radiation",604
14.8,"Glossary",611
14.9,"Section Summary",611
14.10,"Conceptual Questions",612
14.11,"Problems & Exercises",614
15,"Thermodynamics",623
15.1,"The First Law of Thermodynamics",624
15.2,"The First Law of Thermodynamics and Some Simple Processes",629
15.3,"Introduction to the Second Law of Thermodynamics: Heat Engines and Their Efficiency",637
15.4,"Carnot’s Perfect Heat Engine: The Second Law of Thermodynamics Restated",644
15.5,"Applications of Thermodynamics: Heat Pumps and Refrigerators",648
15.6,"Entropy and the Second Law of Thermodynamics: Disorder and the Unavailability of Energy",653
15.7,"Statistical Interpretation of Entropy and the Second Law of Thermodynamics: The Underlying Explanation",661
15.8,"Glossary",667
15.9,"Section Summary",667
15.10,"Conceptual Questions",669
15.11,"Problems & Exercises",671
16,"Oscillatory Motion and Waves",677
16.1,"Hooke’s Law: Stress and Strain Revisited",678
16.2,"Period and Frequency in Oscillations",682
16.3,"Simple Harmonic Motion: A Special Periodic Motion",684
16.4,"The Simple Pendulum",689
16.5,"Energy and the Simple Harmonic Oscillator",691
16.6,"Uniform Circular Motion and Simple Harmonic Motion",694
16.7,"Damped Harmonic Motion",697
16.8,"Forced Oscillations and Resonance",701
16.9,"Waves",704
16.10,"Superposition and Interference",707
16.11,"Energy in Waves: Intensity",713
16.12,"Glossary",717
16.13,"Section Summary",717
16.14,"Conceptual Questions",719
16.15,"Problems & Exercises",720
17,"Physics of Hearing",725
17.1,"Sound",726
17.2,"Speed of Sound, Frequency, and Wavelength",728
17.3,"Sound Intensity and Sound Level",732
17.4,"Doppler Effect and Sonic Booms",738
17.5,"Sound Interference and Resonance: Standing Waves in Air Columns",743
17.6,"Hearing",750
17.7,"Ultrasound",757
17.8,"Glossary",766
17.9,"Section Summary",766
17.10,"Conceptual Questions",767
17.11,"Problems & Exercises",768
18,"Electric Charge and Electric Field",773
18.1,"Static Electricity and Charge: Conservation of Charge",775
18.2,"Conductors and Insulators",780
18.3,"Coulomb’s Law",783
18.4,"Electric Field: Concept of a Field Revisited",786
18.5,"Electric Field Lines: Multiple Charges",788
18.6,"Electric Forces in Biology",792
18.7,"Conductors and Electric Fields in Static Equilibrium",793
18.8,"Applications of Electrostatics",797
18.9,"Glossary",804
18.10,"Section Summary",805
18.11,"Conceptual Questions",806
18.12,"Problems & Exercises",809
19,"Electric Potential and Electric Field",817
19.1,"Electric Potential Energy: Potential Difference",818
19.2,"Electric Potential in a Uniform Electric Field",824
19.3,"Electrical Potential Due to a Point Charge",828
19.4,"Equipotential Lines",830
19.5,"Capacitors and Dielectrics",833
19.6,"Capacitors in Series and Parallel",841
19.7,"Energy Stored in Capacitors",845
19.8,"Glossary",848
19.9,"Section Summary",848
19.10,"Conceptual Questions",849
19.11,"Problems & Exercises",850
20,"Electric Current, Resistance, and Ohm's Law",857
20.1,"Current",858
20.2,"Ohm’s Law: Resistance and Simple Circuits",864
20.3,"Resistance and Resistivity",866
20.4,"Electric Power and Energy",872
20.5,"Alternating Current versus Direct Current",875
20.6,"Electric Hazards and the Human Body",880
20.7,"Nerve Conduction–Electrocardiograms",885
20.8,"Glossary",893
20.9,"Section Summary",893
20.10,"Conceptual Questions",894
20.11,"Problems & Exercises",896
21,"Circuits and DC Instruments",903
21.1,"Resistors in Series and Parallel",904
21.2,"Electromotive Force: Terminal Voltage",913
21.3,"Kirchhoff’s Rules",922
21.4,"DC Voltmeters and Ammeters",927
21.5,"Null Measurements",931
21.6,"DC Circuits Containing Resistors and Capacitors",934
21.7,"Glossary",940
21.8,"Section Summary",941
21.9,"Conceptual Questions",942
21.10,"Problems & Exercises",945
22,"Magnetism",953
22.1,"Magnets",954
22.2,"Ferromagnets and Electromagnets",956
22.3,"Magnetic Fields and Magnetic Field Lines",960
22.4,"Magnetic Field Strength: Force on a Moving Charge in a Magnetic Field",961
22.5,"Force on a Moving Charge in a Magnetic Field: Examples and Applications",964
22.6,"The Hall Effect",968
22.7,"Magnetic Force on a Current-Carrying Conductor",971
22.8,"Torque on a Current Loop: Motors and Meters",973
22.9,"Magnetic Fields Produced by Currents: Ampere’s Law",977
22.10,"Magnetic Force between Two Parallel Conductors",981
22.11,"More Applications of Magnetism",983
22.12,"Glossary",988
22.13,"Section Summary",989
22.14,"Conceptual Questions",990
22.15,"Problems & Exercises",993
23,"Electromagnetic Induction, AC Circuits, and Electrical Technologies",1003
23.1,"Induced Emf and Magnetic Flux",1004
23.2,"Faraday’s Law of Induction: Lenz’s Law",1007
23.3,"Motional Emf",1010
23.4,"Eddy Currents and Magnetic Damping",1013
23.5,"Electric Generators",1017
23.6,"Back Emf",1021
23.7,"Transformers",1022
23.8,"Electrical Safety: Systems and Devices",1027
23.9,"Inductance",1031
23.10,"RL Circuits",1036
23.11,"Reactance, Inductive and Capacitive",1038
23.12,"RLC Series AC Circuits",1042
23.13,"Glossary",1049
23.14,"Section Summary",1049
23.15,"Conceptual Questions",1052
23.16,"Problems & Exercises",1054
24,"Electromagnetic Waves",1063
24.1,"Maxwell’s Equations: Electromagnetic Waves Predicted and Observed",1064
24.2,"Production of Electromagnetic Waves",1067
24.3,"The Electromagnetic Spectrum",1070
24.4,"Energy in Electromagnetic Waves",1086
24.5,"Glossary",1089
24.6,"Section Summary",1090
24.7,"Conceptual Questions",1091
24.8,"Problems & Exercises",1092
25,"Geometric Optics",1097
25.1,"The Ray Aspect of Light",1098
25.2,"The Law of Reflection",1099
25.3,"The Law of Refraction",1102
25.4,"Total Internal Reflection",1108
25.5,"Dispersion: The Rainbow and Prisms",1114
25.6,"Image Formation by Lenses",1118
25.7,"Image Formation by Mirrors",1132
25.8,"Glossary",1141
25.9,"Section Summary",1141
25.10,"Conceptual Questions",1142
25.11,"Problems & Exercises",1144
26,"Vision and Optical Instruments",1151
26.1,"Physics of the Eye",1152
26.2,"Vision Correction",1156
26.3,"Color and Color Vision",1161
26.4,"Microscopes",1165
26.5,"Telescopes",1171
26.6,"Aberrations",1175
26.7,"Glossary",1178
26.8,"Section Summary",1178
26.9,"Conceptual Questions",1179
26.10,"Problems & Exercises",1180
27,"Wave Optics",1185
27.1,"The Wave Aspect of Light: Interference",1186
27.2,"Huygens's Principle: Diffraction",1187
27.3,"Young’s Double Slit Experiment",1190
27.4,"Multiple Slit Diffraction",1195
27.5,"Single Slit Diffraction",1198
27.6,"Limits of Resolution: The Rayleigh Criterion",1202
27.7,"Thin Film Interference",1207
27.8,"Polarization",1212
27.9,"^ { \star }$ Extended Topic\* Microscopy Enhanced by the Wave Characteristics of Light",1221
27.10,"Glossary",1225
27.11,"Section Summary",1225
27.12,"Conceptual Questions",1227
27.13,"Problems & Exercises",1229
28,"Special Relativity",1237
28.1,"Einstein’s Postulates",1238
28.2,"Simultaneity And Time Dilation",1241
28.3,"Length Contraction",1248
28.4,"Relativistic Addition of Velocities",1252
28.5,"Relativistic Momentum",1258
28.6,"Relativistic Energy",1260
28.7,"Glossary",1269
28.8,"Section Summary",1269
28.9,"Conceptual Questions",1271
28.10,"Problems & Exercises",1272
29,"Quantum Physics",1277
29.1,"Quantization of Energy",1278
29.2,"The Photoelectric Effect",1281
29.3,"Photon Energies and the Electromagnetic Spectrum",1284
29.4,"Photon Momentum",1292
29.5,"The Particle-Wave Duality",1296
29.6,"The Wave Nature of Matter",1297
29.7,"Probability: The Heisenberg Uncertainty Principle",1301
29.8,"The Particle-Wave Duality Reviewed",1306
29.9,"Glossary",1310
29.10,"Section Summary",1310
29.11,"Conceptual Questions",1311
29.12,"Problems & Exercises",1312
30,"Atomic Physics",1319
30.1,"Discovery of the Atom",1319
30.2,"Discovery of the Parts of the Atom: Electrons and Nuclei",1322
30.3,"Bohr’s Theory of the Hydrogen Atom",1329
30.4,"X Rays: Atomic Origins and Applications",1336
30.5,"Applications of Atomic Excitations and De-Excitations",1342
30.6,"The Wave Nature of Matter Causes Quantization",1352
30.7,"Patterns in Spectra Reveal More Quantization",1354
30.8,"Quantum Numbers and Rules",1357
30.9,"The Pauli Exclusion Principle",1362
30.10,"Glossary",1370
30.11,"Section Summary",1371
30.12,"Conceptual Questions",1373
30.13,"Problems & Exercises",1374
31,"Radioactivity and Nuclear Physics",1379
31.1,"Nuclear Radioactivity",1380
31.2,"Radiation Detection and Detectors",1384
31.3,"Substructure of the Nucleus",1388
31.4,"Nuclear Decay and Conservation Laws",1392
31.5,"Half-Life and Activity",1399
31.6,"Binding Energy",1405
31.7,"Tunneling",1410
31.8,"Glossary",1413
31.9,"Section Summary",1414
31.10,"Conceptual Questions",1415
31.11,"Problems & Exercises",1417
32,"Medical Applications of Nuclear Physics",1423
32.1,"Diagnostics and Medical Imaging",1424
32.2,"Biological Effects of Ionizing Radiation",1428
32.4,"Food Irradiation",1438
32.5,"Fusion",1439
32.6,"Fission",1445
32.7,"Nuclear Weapons",1451
32.7,"Glossary",1457
32.8,"Section Summary",1457
32.9,"Conceptual Questions",1459
32.10,"Problems & Exercises",1461
33,"Particle Physics",1467
33.1,"The Yukawa Particle and the Heisenberg Uncertainty Principle Revisited",1468
33.2,"The Four Basic Forces",1470
33.3,"Accelerators Create Matter from Energy",1472
33.4,"Particles, Patterns, and Conservation Laws",1476
33.5,"Quarks: Is That All There Is?",1482
33.6,"GUTs: The Unification of Forces",1489
33.7,"Glossary",1494
33.8,"Section Summary",1495
33.9,"Conceptual Questions",1496
33.10,"Problems & Exercises",1497
34,"Frontiers of Physics",1503
34.1,"Cosmology and Particle Physics",1504
34.2,"General Relativity and Quantum Gravity",1512
34.3,"Superstrings",1518
34.4,"Dark Matter and Closure",1519
34.5,"Complexity and Chaos",1523
34.6,"High-temperature Superconductors",1525
34.7,"Some Questions We Know to Ask",1527
34.8,"Glossary",1530
34.9,"Section Summary",1530
34.10,"Conceptual Questions",1532
34.11,"Problems & Exercises",1534
34.12,"Appendix A Atomic Masses",1537
34.13,"Appendix B Selected Radioactive Isotopes",1549
34.14,"Appendix C Useful Information",1553
34.15,"Appendix D Glossary of Key Symbols and Notation",1559
34.16,"Answer Key",1575
34.17,"Index",1673
