Chapter,Section,Page
23.1,"Eukaryotic Origins",574
23.2,"Characteristics of Protists",580
23.3,"Groups of Protists",582
23.4,"Ecology of Protists",600
23.5,"Key Terms",605
23.6,"Chapter Summary",605
23.7,"Visual Connection Questions",606
23.8,"Review Questions",606
23.9,"Critical Thinking Questions",607
24,"Fungi",609
24.1,"Characteristics of Fungi",610
24.2,"Classifications of Fungi",616
24.3,"Ecology of Fungi",624
24.4,"Fungal Parasites and Pathogens",630
24.5,"Importance of Fungi in Human Life",633
24.6,"Key Terms",636
24.7,"Chapter Summary",636
24.8,"Visual Connection Questions",637
24.9,"Review Questions",638
24.10,"Critical Thinking Questions",639
25,"Seedless Plants",641
25.1,"Early Plant Life",641
25.2,"Green Algae: Precursors of Land Plants",648
25.3,"Bryophytes",650
25.4,"Seedless Vascular Plants",656
25.5,"Key Terms",665
25.6,"Chapter Summary",665
25.7,"Visual Connection Questions",666
25.8,"Review Questions",666
25.9,"Critical Thinking Questions",668
26,"Seed Plants",669
26.1,"Evolution of Seed Plants",669
26.2,"Gymnosperms",676
26.3,"Angiosperms",680
26.4,"The Role of Seed Plants",688
26.5,"Key Terms",694
26.6,"Chapter Summary",695
26.7,"Visual Connection Questions",695
26.8,"Review Questions",696
26.9,"Critical Thinking Questions",697
27,"Introduction to Animal Diversity",699
27.1,"Features of the Animal Kingdom",699
27.2,"Features Used to Classify Animals",704
27.3,"Animal Phylogeny",711
27.4,"The Evolutionary History of the Animal Kingdom",713
27.5,"Key Terms",719
27.6,"Chapter Summary",719
27.7,"Visual Connection Questions",720
27.8,"Review Questions",720
27.9,"Critical Thinking Questions",721
28,"Invertebrates",723
28.1,"Phylum Porifera",724
28.2,"Phylum Cnidaria",728
28.3,"Superphylum Lophotrochozoa: Flatworms, Rotifers, and Nemerteans",735
28.4,"Superphylum Lophotrochozoa: Molluscs and Annelids",745
28.5,"Superphylum Ecdysozoa: Nematodes and Tardigrades",754
28.6,"Superphylum Ecdysozoa: Arthropods",759
28.7,"Superphylum Deuterostomia",767
28.8,"Key Terms",772
28.9,"Chapter Summary",773
28.10,"Visual Connection Questions",775
28.11,"Review Questions",775
28.12,"Critical Thinking Questions",776
29,"Vertebrates",779
29.1,"Chordates",779
29.2,"Fishes",785
29.3,"Amphibians",790
29.4,"Reptiles",795
29.5,"Birds",805
29.6,"Mammals",810
29.7,"The Evolution of Primates",814
29.8,"Key Terms",823
29.9,"Chapter Summary",824
29.10,"Visual Connection Questions",826
29.11,"Review Questions",826
29.12,"Critical Thinking Questions",827
30,"Plant Form and Physiology",829
30.1,"The Plant Body",829
30.2,"Stems",831
30.3,"Roots",839
30.4,"Leaves",842
30.5,"Transport of Water and Solutes in Plants",849
30.6,"Plant Sensory Systems and Responses",856
30.7,"Key Terms",864
30.8,"Chapter Summary",865
30.9,"Visual Connection Questions",867
30.10,"Review Questions",867
30.11,"Critical Thinking Questions",868
31,"Soil and Plant Nutrition",871
31.1,"Nutritional Requirements of Plants",871
31.2,"The Soil",875
31.3,"Nutritional Adaptations of Plants",879
31.4,"Key Terms",885
31.5,"Chapter Summary",885
31.6,"Visual Connection Questions",886
31.7,"Review Questions",886
31.8,"Critical Thinking Questions",887
32,"Plant Reproduction",889
32.1,"Reproductive Development and Structure",889
32.2,"Pollination and Fertilization",899
32.3,"Asexual Reproduction",910
32.4,"Key Terms",916
32.5,"Chapter Summary",917
32.6,"Visual Connection Questions",917
32.7,"Review Questions",918
32.8,"Critical Thinking Questions",919
33,"The Animal Body: Basic Form and Function",921
33.1,"Animal Form and Function",921
33.2,"Animal Primary Tissues",927
33.3,"Homeostasis",937
33.4,"Key Terms",943
33.5,"Chapter Summary",943
33.6,"Visual Connection Questions",944
33.7,"Review Questions",944
33.8,"Critical Thinking Questions",946
34,"Animal Nutrition and the Digestive System",947
34.1,"Digestive Systems",948
34.2,"Nutrition and Energy Production",958
34.3,"Digestive System Processes",964
34.4,"Digestive System Regulation",970
34.5,"Key Terms",972
34.6,"Chapter Summary",973
34.7,"Visual Connection Questions",973
34.8,"Review Questions",974
34.9,"Critical Thinking Questions",975
35,"The Nervous System",977
35.1,"Neurons and Glial Cells",977
35.2,"How Neurons Communicate",984
35.3,"The Central Nervous System",995
35.4,"The Peripheral Nervous System",1001
35.5,"Nervous System Disorders",1005
35.6,"Key Terms",1012
35.7,"Chapter Summary",1013
35.8,"Visual Connection Questions",1014
35.9,"Review Questions",1014
35.10,"Critical Thinking Questions",1016
36,"Sensory Systems",1017
36.1,"Sensory Processes",1017
36.2,"Somatosensation",1021
36.3,"Taste and Smell",1025
36.4,"Hearing and Vestibular Sensation",1030
36.5,"Vision",1035
36.6,"Key Terms",1042
36.7,"Chapter Summary",1043
36.8,"Visual Connection Questions",1044
36.9,"Review Questions",1045
36.10,"Critical Thinking Questions",1046
37,"The Endocrine System",1049
37.1,"Types of Hormones",1049
37.2,"How Hormones Work",1052
37.3,"Regulation of Body Processes",1054
37.4,"Regulation of Hormone Production",1065
37.5,"Endocrine Glands",1066
37.6,"Key Terms",1074
37.7,"Chapter Summary",1075
37.8,"Visual Connection Questions",1077
37.9,"Review Questions",1077
37.10,"Critical Thinking Questions",1079
38,"The Musculoskeletal System",1081
38.1,"Types of Skeletal Systems",1081
38.2,"Bone",1093
38.3,"Joints and Skeletal Movement",1100
38.4,"Muscle Contraction and Locomotion",1108
38.5,"Key Terms",1116
38.6,"Chapter Summary",1118
38.7,"Visual Connection Questions",1119
38.8,"Review Questions",1119
39,"The Respiratory System",1123
39.1,"Systems of Gas Exchange",1124
39.2,"Gas Exchange across Respiratory Surfaces",1130
39.3,"Breathing",1134
39.4,"Transport of Gases in Human Bodily Fluids",1140
39.5,"Key Terms",1144
39.6,"Chapter Summary",1145
39.7,"Visual Connection Questions",1146
39.8,"Review Questions",1146
39.9,"Critical Thinking Questions",1147
40,"The Circulatory System",1149
40.1,"Overview of the Circulatory System",1149
40.2,"Components of the Blood",1153
40.3,"Mammalian Heart and Blood Vessels",1158
40.4,"Blood Flow and Blood Pressure Regulation",1165
40.5,"Key Terms",1169
40.6,"Chapter Summary",1170
40.7,"Visual Connection Questions",1171
40.8,"Review Questions",1171
40.9,"Critical Thinking Questions",1172
41,"Osmotic Regulation and Excretion",1173
41.1,"Osmoregulation and Osmotic Balance",1174
41.2,"The Kidneys and Osmoregulatory Organs",1177
41.3,"Excretion Systems",1182
41.4,"Nitrogenous Wastes",1184
41.5,"Hormonal Control of Osmoregulatory Functions",1186
41.6,"Key Terms",1189
41.7,"Chapter Summary",1190
41.8,"Visual Connection Questions",1191
41.9,"Review Questions",1191
41.10,"Critical Thinking Questions",1192
42,"The Immune System",1193
42.1,"Innate Immune Response",1194
42.2,"Adaptive Immune Response",1200
42.3,"Antibodies",1213
42.4,"Disruptions in the Immune System",1218
42.5,"Key Terms",1221
42.6,"Chapter Summary",1222
42.7,"Visual Connection Questions",1223
42.8,"Review Questions",1223
42.9,"Critical Thinking Questions",1224
43,"Animal Reproduction and Development",1225
43.1,"Reproduction Methods",1226
43.2,"Fertilization",1229
43.3,"Human Reproductive Anatomy and Gametogenesis",1231
43.4,"Hormonal Control of Human Reproduction",1238
43.5,"Human Pregnancy and Birth",1243
43.6,"Fertilization and Early Embryonic Development",1248
43.7,"Organogenesis and Vertebrate Formation",1252
43.8,"Key Terms",1256
43.9,"Chapter Summary",1257
43.10,"Visual Connection Questions",1258
43.11,"Review Questions",1258
43.12,"Critical Thinking Questions",1260
44,"Ecology and the Biosphere",1261
44.1,"The Scope of Ecology",1262
44.2,"Biogeography",1266
44.3,"Terrestrial Biomes",1272
44.4,"Aquatic Biomes",1279
44.5,"Climate and the Effects of Global Climate Change",1284
44.6,"Key Terms",1291
44.7,"Chapter Summary",1291
44.8,"Visual Connection Questions",1292
44.9,"Review Questions",1293
44.10,"Critical Thinking Questions",1294
45,"Population and Community Ecology",1295
45.1,"Population Demography",1296
45.2,"Life Histories and Natural Selection",1301
45.3,"Environmental Limits to Population Growth",1303
45.4,"Population Dynamics and Regulation",1307
45.5,"Human Population Growth",1311
45.6,"Community Ecology",1314
45.7,"Behavioral Biology: Proximate and Ultimate Causes of Behavior",1325
45.8,"Key Terms",1335
45.9,"Chapter Summary",1336
45.10,"Visual Connection Questions",1337
45.11,"Review Questions",1338
45.12,"Critical Thinking Questions",1339
46,"Ecosystems",1341
46.1,"Ecology of Ecosystems",1341
46.2,"Energy Flow through Ecosystems",1350
46.3,"Biogeochemical Cycles",1354
46.4,"Key Terms",1366
46.5,"Chapter Summary",1367
46.6,"Visual Connection Questions",1367
46.7,"Review Questions",1367
46.8,"Critical Thinking Questions",1369
47,"Conservation Biology and Biodiversity",1371
47.1,"The Biodiversity Crisis",1372
47.2,"The Importance of Biodiversity to Human Life",1382
47.3,"Threats to Biodiversity",1385
47.4,"Preserving Biodiversity",1393
47.5,"Key Terms",1398
47.6,"Chapter Summary",1398
47.7,"Visual Connection Questions",1399
47.8,"Review Questions",1400
47.9,"Critical Thinking Questions",1401
47.10,"Appendix A The Periodic Table of Elements",1403
47.11,"Appendix B Geological Time",1405
47.12,"Appendix C Measurements and the Metric System",1407
47.13,"Index",1409
