chapter,section,page,json_idx
16.2,Period and Frequency in Oscillations,682,8197
16.3,Simple Harmonic Motion: A Special Periodic Motion,684,8232
16.4,The Simple Pendulum,689,8296
16.5,Energy and the Simple Harmonic Oscillator,691,8347
16.6,Uniform Circular Motion and Simple Harmonic Motion,694,8407
16.7,Damped Harmonic Motion,697,8444
16.8,Forced Oscillations and Resonance,701,8499
16.9,Waves,704,8518
16.10,Superposition and Interference,707,8564
16.11,Energy in Waves: Intensity,713,8625
17,Physics of Hearing,725,8789
17.1,Sound,726,8795
17.2,"Speed of Sound, Frequency, and Wavelength",728,8812
17.3,Sound Intensity and Sound Level,732,8867
17.4,Doppler Effect and Sonic Booms,738,8939
17.5,Sound Interference and Resonance: Standing Waves in Air Columns,743,9006
17.6,Hearing,750,9087
17.7,Ultrasound,757,9145
18,Electric Charge and Electric Field,773,9324
18.1,Static Electricity and Charge: Conservation of Charge,775,9338
18.2,Conductors and Insulators,780,9382
18.3,Coulomb’s Law,783,9414
18.4,Electric Field: Concept of a Field Revisited,786,9447
18.5,Electric Field Lines: Multiple Charges,788,9491
18.6,Electric Forces in Biology,792,9532
18.7,Conductors and Electric Fields in Static Equilibrium,793,9553
18.8,Applications of Electrostatics,797,9591
19,Electric Potential and Electric Field,817,9785
19.1,Electric Potential Energy: Potential Difference,818,9791
19.2,Electric Potential in a Uniform Electric Field,824,9888
19.3,Electrical Potential Due to a Point Charge,828,9951
19.4,Equipotential Lines,830,9990
19.5,Capacitors and Dielectrics,833,10015
19.6,Capacitors in Series and Parallel,841,10104
19.7,Energy Stored in Capacitors,845,10168
20,"Electric Current, Resistance, and Ohm's Law",857,10285
20.1,Current,858,10292
20.2,Ohm’s Law: Resistance and Simple Circuits,864,10372
20.3,Resistance and Resistivity,866,10416
20.4,Electric Power and Energy,872,10471
20.5,Alternating Current versus Direct Current,875,10532
20.6,Electric Hazards and the Human Body,880,10609
20.7,Nerve Conduction–Electrocardiograms,885,10638
21,Circuits and DC Instruments,903,10772
21.1,Resistors in Series and Parallel,904,10778
21.2,Electromotive Force: Terminal Voltage,913,10957
21.3,Kirchhoff’s Rules,922,11059
21.4,DC Voltmeters and Ammeters,927,11127
21.5,Null Measurements,931,11178
21.6,DC Circuits Containing Resistors and Capacitors,934,11215
22,Magnetism,953,11415
22.1,Magnets,954,11423
22.2,Ferromagnets and Electromagnets,956,11441
22.3,Magnetic Fields and Magnetic Field Lines,960,11470
22.4,Magnetic Field Strength: Force on a Moving Charge in a Magnetic Field,961,11484
22.5,Force on a Moving Charge in a Magnetic Field: Examples and Applications,964,11518
22.6,The Hall Effect,968,11558
22.7,Magnetic Force on a Current-Carrying Conductor,971,11588
22.8,Torque on a Current Loop: Motors and Meters,973,11617
22.9,Magnetic Fields Produced by Currents: Ampere’s Law,977,11647
22.10,Magnetic Force between Two Parallel Conductors,981,11698
22.11,More Applications of Magnetism,983,11719
23,"Electromagnetic Induction, AC Circuits, and Electrical Technologies",1003,11918
23.1,Induced Emf and Magnetic Flux,1004,11928
23.2,Faraday’s Law of Induction: Lenz’s Law,1007,11943
23.3,Motional Emf,1010,11990
23.4,Eddy Currents and Magnetic Damping,1013,12020
23.5,Electric Generators,1017,12041
23.6,Back Emf,1021,12101
23.7,Transformers,1022,12110
23.8,Electrical Safety: Systems and Devices,1027,12167
23.9,Inductance,1031,12190
23.10,RL Circuits,1036,12253
23.11,"Reactance, Inductive and Capacitive",1038,12288
23.12,RLC Series AC Circuits,1042,12357
24,Electromagnetic Waves,1063,12601
24.1,Maxwell’s Equations: Electromagnetic Waves Predicted and Observed,1064,12614
24.2,Production of Electromagnetic Waves,1067,12641
24.3,The Electromagnetic Spectrum,1070,12691
24.4,Energy in Electromagnetic Waves,1086,12870
25,Geometric Optics,1097,13003
25.1,The Ray Aspect of Light,1098,13012
25.2,The Law of Reflection,1099,13024
25.3,The Law of Refraction,1102,13043
25.4,Total Internal Reflection,1108,13121
25.5,Dispersion: The Rainbow and Prisms,1114,13175
25.6,Image Formation by Lenses,1118,13198
25.7,Image Formation by Mirrors,1132,13358
26,Vision and Optical Instruments,1151,13531
26.1,Physics of the Eye,1152,13538
26.2,Vision Correction,1156,13591
26.3,Color and Color Vision,1161,13632
26.4,Microscopes,1165,13662
26.5,Telescopes,1171,13728
26.6,Aberrations,1175,13753
27,Wave Optics,1185,13827
27.1,The Wave Aspect of Light: Interference,1186,13833
27.2,Huygens's Principle: Diffraction,1187,13846
27.3,Young’s Double Slit Experiment,1190,13864
27.4,Multiple Slit Diffraction,1195,13917
27.5,Single Slit Diffraction,1198,13965
27.6,Limits of Resolution: The Rayleigh Criterion,1202,13993
27.7,Thin Film Interference,1207,14050
27.8,Polarization,1212,14123
27.9,^ { \star }$ Extended Topic\* Microscopy Enhanced by the Wave Characteristics of Light,1221,14203
28,Special Relativity,1237,14325
28.1,Einstein’s Postulates,1238,14335
28.2,Simultaneity And Time Dilation,1241,14365
28.3,Length Contraction,1248,14448
28.4,Relativistic Addition of Velocities,1252,14512
28.5,Relativistic Momentum,1258,14587
28.6,Relativistic Energy,1260,14612
29,Quantum Physics,1277,14800
29.1,Quantization of Energy,1278,14809
29.2,The Photoelectric Effect,1281,14838
29.3,Photon Energies and the Electromagnetic Spectrum,1284,14882
29.4,Photon Momentum,1292,14966
29.5,The Particle-Wave Duality,1296,15032
29.6,The Wave Nature of Matter,1297,15045
29.7,Probability: The Heisenberg Uncertainty Principle,1301,15091
29.8,The Particle-Wave Duality Reviewed,1306,15157
30,Atomic Physics,1319,15282
30.1,Discovery of the Atom,1319,15283
30.2,Discovery of the Parts of the Atom: Electrons and Nuclei,1322,15305
30.3,Bohr’s Theory of the Hydrogen Atom,1329,15376
30.4,X Rays: Atomic Origins and Applications,1336,15462
30.5,Applications of Atomic Excitations and De-Excitations,1342,15509
30.6,The Wave Nature of Matter Causes Quantization,1352,15563
30.7,Patterns in Spectra Reveal More Quantization,1354,15588
30.8,Quantum Numbers and Rules,1357,15604
30.9,The Pauli Exclusion Principle,1362,15661
31,Radioactivity and Nuclear Physics,1379,15819
31.1,Nuclear Radioactivity,1380,15822
31.2,Radiation Detection and Detectors,1384,15857
31.3,Substructure of the Nucleus,1388,15876
31.4,Nuclear Decay and Conservation Laws,1392,15933
31.5,Half-Life and Activity,1399,16022
31.6,Binding Energy,1405,16120
31.7,Tunneling,1410,16175
32,Medical Applications of Nuclear Physics,1423,16274
32.1,Diagnostics and Medical Imaging,1424,16280
32.2,Biological Effects of Ionizing Radiation,1428,16304
32.4,Food Irradiation,1438,16402
32.5,Fusion,1439,16412
32.6,Fission,1445,16464
32.7,Nuclear Weapons,1451,16527
33,Particle Physics,1467,16641
33.1,The Yukawa Particle and the Heisenberg Uncertainty Principle Revisited,1468,16651
33.2,The Four Basic Forces,1470,16680
33.3,Accelerators Create Matter from Energy,1472,16696
33.4,"Particles, Patterns, and Conservation Laws",1476,16725
33.5,Quarks: Is That All There Is?,1482,16776
33.6,GUTs: The Unification of Forces,1489,16832
34,Frontiers of Physics,1503,16939
34.1,Cosmology and Particle Physics,1504,16945
34.2,General Relativity and Quantum Gravity,1512,16985
34.3,Superstrings,1518,17020
34.4,Dark Matter and Closure,1519,17027
34.5,Complexity and Chaos,1523,17055
34.6,High-temperature Superconductors,1525,17068
34.7,Some Questions We Know to Ask,1527,17082
