chapter,section,page,json_idx
10.2,Properties of Liquids,487,5312
10.3,Phase Transitions,493,5354
10.4,Phase Diagrams,503,5481
10.5,The Solid State of Matter,510,5544
10.6,Lattice Structures in Crystalline Solids,516,5580
11,Solutions and Colloids,547,5881
11.1,The Dissolution Process,548,5887
11.2,Electrolytes,552,5920
11.3,Solubility,555,5940
11.4,Colligative Properties,564,6019
11.5,Colloids,583,6259
12,Kinetics,599,6406
12.1,Chemical Reaction Rates,600,6412
12.2,Factors Affecting Reaction Rates,605,6490
12.3,Rate Laws,607,6520
12.4,Integrated Rate Laws,614,6638
12.5,Collision Theory,625,6792
12.6,Reaction Mechanisms,630,6850
12.7,Catalysis,635,6934
13,Fundamental Equilibrium Concepts,657,7162
13.1,Chemical Equilibria,657,7167
13.2,Equilibrium Constants,660,7185
13.3,Shifting Equilibria: Le Châtelier’s Principle,669,7341
13.4,Equilibrium Calculations,675,7414
14,Acid-Base Equilibria,693,7679
14.1,Brønsted-Lowry Acids and Bases,693,7684
14.2,$1 4 2 \mathrm { p H }$ and pOH,697,7736
14.3,Relative Strengths of Acids and Bases,702,7822
14.4,Hydrolysis of Salts,716,8041
14.5,Polyprotic Acids,721,8146
14.6,Buffers,724,8202
14.7,Acid-Base Titrations,730,8298
15,Equilibria of Other Reaction Classes,749,8499
15.1,Precipitation and Dissolution,749,8502
15.2,Lewis Acids and Bases,763,8766
15.3,Coupled Equilibria,767,8819
16,Thermodynamics,783,9009
16.1,Spontaneity,783,9012
16.2,Entropy,787,9050
16.3,The Second and Third Laws of Thermodynamics,793,9108
16.4,Free Energy,797,9188
17,Electrochemistry,817,9475
17.1,Review of Redox Chemistry,818,9480
17.2,Galvanic Cells,821,9521
17.3,Electrode and Cell Potentials,824,9560
17.4,"Potential, Free Energy, and Equilibrium",830,9618
17.5,Batteries and Fuel Cells,834,9687
17.6,Corrosion,840,9741
17.7,Electrolysis,843,9766
18,"Representative Metals, Metalloids, and Nonmetals",857,9915
18.1,Periodicity,858,9921
18.2,Occurrence and Preparation of the Representative Metals,867,10005
18.3,Structure and General Properties of the Metalloids,870,10050
18.4,Structure and General Properties of the Nonmetals,877,10119
18.5,"Occurrence, Preparation, and Compounds of Hydrogen",885,10189
18.6,"Occurrence, Preparation, and Properties of Carbonates",891,10282
18.7,"Occurrence, Preparation, and Properties of Nitrogen",893,10313
18.8,"Occurrence, Preparation, and Properties of Phosphorus",897,10351
18.9,"Occurrence, Preparation, and Compounds of Oxygen",899,10371
18.10,"Occurrence, Preparation, and Properties of Sulfur",913,10558
18.11,"Occurrence, Preparation, and Properties of Halogens",915,10572
18.12,"Occurrence, Preparation, and Properties of the Noble Gases",920,10639
19,Transition Metals and Coordination Chemistry,935,10825
19.1,"Occurrence, Preparation, and Properties of Transition Metals and Their Compounds",935,10828
19.2,Coordination Chemistry of Transition Metals,948,10993
19.3,Spectroscopic and Magnetic Properties of Coordination Compounds,962,11099
20,Organic Chemistry,977,11244
20.1,Hydrocarbons,978,11250
20.2,Alcohols and Ethers,995,11420
20.3,"Aldehydes, Ketones, Carboxylic Acids, and Esters",999,11473
20.4,Amines and Amides,1005,11527
21,Nuclear Chemistry,1021,11687
21.1,Nuclear Structure and Stability,1022,11693
21.2,Nuclear Equations,1028,11773
21.3,Radioactive Decay,1031,11810
21.4,Transmutation and Nuclear Energy,1042,11934
21.5,Uses of Radioisotopes,1055,12027
21.6,Biological Effects of Radiation,1059,12052
